,precision,recall,f1-score,support
Tomato___Bacterial_spot,1.0,0.9966887417218543,0.9983416252072969,302.0
Tomato___Early_blight,0.9883040935672515,0.9825581395348837,0.9854227405247813,172.0
Tomato___Late_blight,0.9912663755458515,1.0,0.9956140350877193,227.0
Tomato___Leaf_Mold,0.9821428571428571,1.0,0.990990990990991,165.0
Tomato___Septoria_leaf_spot,0.9890909090909091,0.9963369963369964,0.9927007299270073,273.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9964285714285714,0.9928825622775801,0.9946524064171123,281.0
Tomato___Target_Spot,1.0,0.9893992932862191,0.9946714031971581,283.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9980392156862745,0.9980392156862745,0.9980392156862745,510.0
Tomato___Tomato_mosaic_virus,1.0,0.9850746268656716,0.9924812030075187,67.0
Tomato___healthy,1.0,1.0,1.0,233.0
accuracy,0.9952248308794269,0.9952248308794269,0.9952248308794269,0.9952248308794269
macro avg,0.9945272022461715,0.9940979575709479,0.9942914350045859,2513.0
weighted avg,0.9952557061378009,0.9952248308794269,0.9952258873222732,2513.0
